cabin_class,seat,airline_code,airline,flight_number,aircraft,aircraft_type,dep_airport,dep_airport_name,arr_airport,arr_airport_name,month,year,time_in_air,dep_country,arr_country,aircraft_family,airline_family
Economy,None,LH,Lufthansa,1120,32Q,Airbus A321neo,FRA,Frankfurt Airport,MAD,Adolfo Suarez Madrid Barajas Airport,3,2024,2:40:00,Germany,Spain,Airbus A321,Star Alliance
Economy,None,LH,Lufthansa,215,320,Airbus A320,DRS,Dresden Airport,FRA,Frankfurt Airport,3,2024,1:05:00,Germany,Germany,Airbus A320,Star Alliance
Economy,None,LH,Lufthansa,210,32A,Airbus A320 (Sharklets),FRA,Frankfurt Airport,DRS,Dresden Airport,1,2024,1:00:00,Germany,Germany,Airbus A320,Star Alliance
Premium Economy,None,LH,Lufthansa,755,744,Boeing 747-400,BLR,Kempegowda International Airport  Bengaluru,FRA,Frankfurt Airport,1,2024,9:59:00,India,Germany,Boeing 747,Star Alliance
Premium Economy,14D,LH,Lufthansa,758,343,Airbus A340-300,FRA,Frankfurt Airport,MAA,Chennai International Airport,12,2023,9:20:00,Germany,India,Airbus A340,Star Alliance
Economy,4A,LH,Lufthansa,207,319,Airbus A319,DRS,Dresden Airport,FRA,Frankfurt Airport,12,2023,1:05:00,Germany,Germany,Airbus A319,Star Alliance
Economy,19C,LH,Lufthansa,2130,CR9,Bombardier CRJ900,MUC,Munich Airport,DRS,Dresden Airport,11,2022,0:55:00,Germany,Germany,Bombardier,Star Alliance
Economy,20C,LH,Lufthansa,2235,E95,Embraer E195,CDG,Charles de Gaulle Airport  Paris,MUC,Munich Airport,11,2022,1:25:00,France,Germany,Embraer E195,Star Alliance
Economy,23F,LH,Lufthansa,1034,32A,Airbus A320 (Sharklets),FRA,Frankfurt Airport,CDG,Charles de Gaulle Airport  Paris,11,2022,1:15:00,Germany,France,Airbus A320,Star Alliance
Economy,21F,LH,Lufthansa,207,319,Airbus A319,DRS,Dresden Airport,FRA,Frankfurt Airport,11,2022,1:05:00,Germany,Germany,Airbus A319,Star Alliance
Economy,None,QR,Qatar Airways,291,788,Boeing 787-8 Dreamliner,DOH,Hamad International Airport  Doha,PRG,Vaclav Havel Airport  Prague,8,2022,6:15:00,Qatar,Czechia,Boeing 787,OneWorld
Economy,None,QR,Qatar Airways,529,789,Boeing 787-9 Dreamliner,MAA,Chennai International Airport,DOH,Hamad International Airport  Doha,8,2022,4:30:00,India,Qatar,Boeing 787,OneWorld
Economy,None,6E,IndiGo,5314,32Q,Airbus A321neo,HYD,Rajiv Gandhi International Airport  Hyderabad,TIR,Tirupati Airport,8,2022,1:05:00,India,India,Airbus A321,Other
Economy,None,6E,IndiGo,6912,32N,Airbus A320neo,BBI,Biju Patnaik International Airport  Bhubaneswar,HYD,Rajiv Gandhi International Airport  Hyderabad,8,2022,1:35:00,India,India,Airbus A320,Other
Economy,None,6E,IndiGo,922,32Q,Airbus A321neo,HYD,Rajiv Gandhi International Airport  Hyderabad,BBI,Biju Patnaik International Airport  Bhubaneswar,8,2022,1:40:00,India,India,Airbus A321,Other
Economy,None,6E,IndiGo,7251,AT7,ATR 72-201/202,CDP,Cuddapah Airport,HYD,Rajiv Gandhi International Airport  Hyderabad,8,2022,1:15:00,India,India,ATR 72,Other
Business,None,AF,Air France,108,789,Boeing 787-9 Dreamliner,CDG,Charles de Gaulle Airport  Paris,MAA,Chennai International Airport,8,2022,9:55:00,France,India,Boeing 787,SkyTeam
Economy,None,AF,Air France,681,359,Airbus A350-900,ATL,Hartsfield Jackson Atlanta International Airport,CDG,Charles de Gaulle Airport  Paris,8,2022,8:30:00,United States,France,Airbus A350,SkyTeam
Economy,None,WN,Southwest Airlines,1654,73W,Boeing 737-700 ,BNA,Nashville International Airport,ATL,Hartsfield Jackson Atlanta International Airport,8,2022,1:10:00,United States,United States,Boeing 737,Other
Economy,None,WN,Southwest Airlines,4402,73W,Boeing 737-700 ,ORD,O'Hare International Airport  Chicago,BNA,Nashville International Airport,7,2022,1:30:00,United States,United States,Boeing 737,Other
Economy,27D,AS,Alaska Airlines,21,7M9,Boeing 737 MAX 9,ORD,O'Hare International Airport  Chicago,SEA,Seattle Tacoma International Airport,7,2022,4:34:00,United States,United States,Boeing 737,OneWorld
Economy,25A,UA,United Airlines,2497,73J,Boeing 737-900,SEA,Seattle Tacoma International Airport,ORD,O'Hare International Airport  Chicago,7,2022,3:58:00,United States,United States,Boeing 737,Star Alliance
Economy,25A,UA,United Airlines,2271,7M9,Boeing 737 MAX 9,ANC,Ted Stevens Anchorage International Airport,ORD,O'Hare International Airport  Chicago,6,2022,6:05:00,United States,United States,Boeing 737,Star Alliance
Economy,13F,AS,Alaska Airlines,1221,73J,Boeing 737-900,ORD,O'Hare International Airport  Chicago,ANC,Ted Stevens Anchorage International Airport,6,2022,6:31:00,United States,United States,Boeing 737,OneWorld
Economy,None,NK,Spirit Airlines,566,32A,Airbus A320 (Sharklets),LAS,Harry Reid International Airport  Las Vegas,IND,Indianapolis International Airport,11,2021,3:21:00,United States,United States,Airbus A320,Other
Economy,25C,NK,Spirit Airlines,533,32A,Airbus A320 (Sharklets),IND,Indianapolis International Airport,LAS,Harry Reid International Airport  Las Vegas,11,2021,4:02:00,United States,United States,Airbus A320,Other
Economy,None,WN,Southwest Airlines,620,73W,Boeing 737-700 ,BNA,Nashville International Airport,ORD,O'Hare International Airport  Chicago,5,2021,1:40:00,United States,United States,Boeing 737,Other
Economy,26,WN,Southwest Airlines,4376,73W,Boeing 737-700 ,ORD,O'Hare International Airport  Chicago,BNA,Nashville International Airport,5,2021,1:45:00,United States,United States,Boeing 737,Other
Economy,22L,UA,United Airlines,899,789,Boeing 787-9 Dreamliner,DEL,Indira Gandhi International Airport  Delhi,ORD,O'Hare International Airport  Chicago,3,2021,15:25:00,India,United States,Boeing 787,Star Alliance
Economy,26A,AI,Air India,539,321,Airbus A321,MAA,Chennai International Airport,DEL,Indira Gandhi International Airport  Delhi,3,2021,2:50:00,India,India,Airbus A321,Star Alliance
Economy,None,I5,AirAsia India,934,320,Airbus A320,BLR,Kempegowda International Airport  Bengaluru,MAA,Chennai International Airport,2,2021,1:00:00,India,India,Airbus A320,Star Alliance
Economy,None,I5,AirAsia India,1543,320,Airbus A320,HYD,Rajiv Gandhi International Airport  Hyderabad,BLR,Kempegowda International Airport  Bengaluru,2,2021,1:20:00,India,India,Airbus A320,Star Alliance
Economy,14A,UK,Vistara,877,73H,Boeing 737-800 (winglets),BOM,Chhatrapati Shivaji Maharaj International Airport  Mumbai,HYD,Rajiv Gandhi International Airport  Hyderabad,2,2021,1:25:00,India,India,Boeing 737,Star Alliance
Economy,14E,6E,IndiGo,969,32A,Airbus A320 (Sharklets),HYD,Rajiv Gandhi International Airport  Hyderabad,BOM,Chhatrapati Shivaji Maharaj International Airport  Mumbai,2,2021,1:35:00,India,India,Airbus A320,Other
Economy,14A,2T,Trujet,536,AT76,ATR 72-600,CDP,Cuddapah Airport,MAA,Chennai International Airport,3,2020,1:00:00,India,India,ATR 72,Other
Economy,14A,2T,Trujet,535,AT76,ATR 72-600,MAA,Chennai International Airport,CDP,Cuddapah Airport,2,2020,1:00:00,India,India,ATR 72,Other
Economy,16C,SG,SpiceJet,346,73H,Boeing 737-800 (winglets),GAU,Lokpriya Gopinath Bordoloi International Airport  Guwahati,MAA,Chennai International Airport,2,2020,3:00:00,India,India,Boeing 737,Other
Economy,2B,SG,SpiceJet,608,73H,Boeing 737-800 (winglets),MAA,Chennai International Airport,GAU,Lokpriya Gopinath Bordoloi International Airport  Guwahati,1,2020,2:55:00,India,India,Boeing 737,Other
Economy,4F,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,2,2020,1:00:00,India,India,ATR 72,Other
Economy,16B,6E,IndiGo,145,32N,Airbus A320neo,IDR,Devi Ahilya Bai Holkar Airport  Indore,MAA,Chennai International Airport,12,2019,2:10:00,India,India,Airbus A320,Other
Economy,22C,6E,IndiGo,143,32N,Airbus A320neo,MAA,Chennai International Airport,IDR,Devi Ahilya Bai Holkar Airport  Indore,12,2019,2:15:00,India,India,Airbus A320,Other
Economy,None,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,10,2019,1:00:00,India,India,ATR 72,Other
Economy,3A,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,10,2019,1:00:00,India,India,ATR 72,Other
Economy,4A,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,9,2019,1:00:00,India,India,ATR 72,Other
Economy,4A,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,8,2019,1:00:00,India,India,ATR 72,Other
Economy,7A,SG,SpiceJet,124,73W,Boeing 737-700 ,IXL,Kushok Bakula Rimpochee Airport  Leh,DEL,Indira Gandhi International Airport  Delhi,7,2019,1:30:00,India,India,Boeing 737,Other
Economy,16B,SG,SpiceJet,103,73W,Boeing 737-700 ,DEL,Indira Gandhi International Airport  Delhi,MAA,Chennai International Airport,7,2019,3:00:00,India,India,Boeing 737,Other
Economy,32C,SG,SpiceJet,104,73J,Boeing 737-900,MAA,Chennai International Airport,DEL,Indira Gandhi International Airport  Delhi,7,2019,2:55:00,India,India,Boeing 737,Other
Economy,4A,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,7,2019,1:00:00,India,India,ATR 72,Other
Economy,14B,6E,IndiGo,6217,32N,Airbus A320neo,MAA,Chennai International Airport,BLR,Kempegowda International Airport  Bengaluru,6,2019,1:10:00,India,India,Airbus A320,Other
Economy,4F,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,6,2019,1:00:00,India,India,ATR 72,Other
Economy,2F,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,5,2019,1:05:00,India,India,ATR 72,Other
Economy,17A,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,5,2019,1:00:00,India,India,ATR 72,Other
Economy,16A,6E,IndiGo,386,32N,Airbus A320neo,BOM,Chhatrapati Shivaji Maharaj International Airport  Mumbai,MAA,Chennai International Airport,5,2019,2:00:00,India,India,Airbus A320,Other
Economy,14D,G8,GoAir,302,32N,Airbus A320neo,MAA,Chennai International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport  Mumbai,5,2019,1:55:00,India,India,Airbus A320,Other
Economy,None,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,4,2019,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,4,2019,1:05:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,3,2019,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,1,2019,1:00:00,India,India,ATR 72,Other
Economy,46K,EK,Emirates,544,77W,Boeing 777-300ER,DXB,Dubai International Airport,MAA,Chennai International Airport,11,2018,3:55:00,United Arab Emirates,India,Boeing 777,Other
Economy,46K,EK,Emirates,224,77W,Boeing 777-300ER,EWR,Newark Liberty International Airport,DXB,Dubai International Airport,11,2018,12:30:00,United States,United Arab Emirates,Boeing 777,Other
Economy,20E,AA,American Airlines,1439,738,Boeing 737-800,PHX,Phoenix Sky Harbor International Airport,EWR,Newark Liberty International Airport,11,2018,4:29:00,United States,United States,Boeing 737,OneWorld
Economy,None,WN,Southwest Airlines,2235,73W,Boeing 737-700 ,AUS,Austin-Bergstrom International Airport,PHX,Phoenix Sky Harbor International Airport,11,2018,2:21:00,United States,United States,Boeing 737,Other
Economy,None,WN,Southwest Airlines,757,73W,Boeing 737-700 ,EWR,Newark Liberty International Airport,AUS,Austin-Bergstrom International Airport,11,2018,3:04:00,United States,United States,Boeing 737,Other
Economy,49K,EK,Emirates,201,388,Airbus A380-800,DXB,Dubai International Airport,JFK,John F. Kennedy International Airport  New York,10,2018,13:55:00,United Arab Emirates,United States,Airbus A380,Other
Economy,20A,EK,Emirates,543,77W,Boeing 777-300ER,MAA,Chennai International Airport,DXB,Dubai International Airport,10,2018,4:20:00,India,United Arab Emirates,Boeing 777,Other
Economy,None,2T,Trujet,536,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,11,2018,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,535,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,11,2018,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,430,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,10,2018,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,429,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,10,2018,1:00:00,India,India,ATR 72,Other
Economy,None,2T,Trujet,430,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,9,2018,1:00:00,India,India,ATR 72,Other
Economy,4F,2T,Trujet,430,AT72,ATR 72-201/202,CDP,Cuddapah Airport,MAA,Chennai International Airport,8,2018,1:00:00,India,India,ATR 72,Other
Economy,17A,2T,Trujet,429,AT72,ATR 72-201/202,MAA,Chennai International Airport,CDP,Cuddapah Airport,8,2018,1:00:00,India,India,ATR 72,Other
